REF DE TELAS,PRECIO X METRO,Sublimacion,sin sublimar
Bahia,30000,8000,
Chiffon,16000,8000,
Correcamino (de Paralelo),7000,8000,7000
Drill,24000,8000,
Drill Denim o Jean,21995,8000,13995
Drill Denim o Jean Liso Blanco,13995,,13995
Drill Denim o Jean Liso Negro,21995,,21995
Drill Grueso Negro,17000,,17000
Drill Liso Blanco,17000,,17000
Drill Liso Lila,17000,,17000
Drill Liso Negro,17000,,17000
Drill Liso Rojo,17000,,17000
Escuba,15000,8000,7000
Falso Chalis,17520,8000,9520
Jaibel,17000,8000,9000
Lino,22000,8000,14000
Lino Sublimado,19115,8000,11115
Lira,35000,8000,27000
Liviana,35000,8000,27000
Lentejuela,34180,8000,26180
Lycra,24571,8000,16571
Mallatex,16000,8000,8000
Mallatex lisa,8000,,8000
Olan,22000,8000,14000
Opalo,41000,8000,33000
Paradise,30000,8000,22000
Piel De Durazno,15000,8000,7000
Rib,16000,8000,8000
Rib Con Textura,40000,8000,32000
Rib Grueso,44000,8000,36000
Rib Sublimada,30000,8000,22000
Rib Tejido,16000,8000,8000
Seda,18000,8000,10000
Seda bereinlab Sublimada,18710,8000,10710
Vasari,25000,8000,17000
Sublimación,,8000,8000
Tela Adicional Mallatex,,8000,8000
Tela Adicional Drill Denin o Jean,,13995,13995